ReadableTime,TimeStamp,BoxesPlot,AsPerCalculation
2017-07-17 15:16:53,1500284813,1,1
2017-07-17 15:16:57,1500284817,1,1
2017-07-17 15:17:01,1500284821,1,1
2017-07-17 15:17:04,1500284824,1,1
2017-07-17 15:17:08,1500284828,1,1
2017-07-17 17:10:28,1500291628,1,1
2017-07-17 17:10:30,1500291630,1,1
2017-07-17 17:13:58,1500291838,1,1
2017-07-17 17:14:00,1500291840,1,1
2017-07-17 17:14:02,1500291842,1,1
